事件,家,代號,敘事適用度,輪次,編號,可證偽的預測,勝率區間,核的日期,核的文件,證偽出場價,證偽出場價算式,支不支持買入,作廢前提
2026 SaaSpocalypse,Braze,BRZE,部分適用,第一輪,B1,"滾動 12 個月淨收入留存率(全體客戶)≥ 105%,期末 2026-01-31;基準 2025-10-31 為 108%",60%-70%,估 2026-03-25,FY2026 年報 10-K 的 MD&A「dollar-based net retention rate」段(新聞稿同日亦有),12.80,"收入 700 × 1.5 EV/收入 = 1,050;加淨現金 383.27 = 1,433.27;÷ 112.215 百萬股 = 12.77,取整報 12.80 美元","只是弱支持——留存率守住 105% 只證明 AI 代理沒有額外咬走 Braze,是必要條件不是買入理由",
2026 SaaSpocalypse,Braze,BRZE,部分適用,第一輪,B2,"ARR ≥ 50 萬美元的客戶數 ≥ 320 家,截至 2026-01-31;基數 303 家",55%-65%,估 2026-03-25,FY2026 Q4 業績新聞稿(8-K EX-99.1),12.80,"收入 700 × 1.5 EV/收入 = 1,050;加淨現金 383.27 = 1,433.27;÷ 112.215 百萬股 = 12.77,取整報 12.80 美元","支持,但仍要 B1 同時過關才算完整",
2026 SaaSpocalypse,DocuSign,DOCU,大致不適用,第一輪,D1,"IAM 平台客戶數 ≥ 30,000 家,截至 2026-01-31;基數 25,000+",55%-65%,估 2026-03-12,FY2026 Q4 業績新聞稿(8-K EX-99.1),44.60,"收入 3,150 × 2.5 EV/收入 = 7,875;加淨現金 1,048.40 = 8,923.40;÷ 200.273 百萬股 = 44.56 美元",支持——D1 + D2 同時過關正是①錯殺注要的證據形態,
2026 SaaSpocalypse,DocuSign,DOCU,大致不適用,第一輪,D2,公司在 Q4 業績日發出的 FY2027 收入指引 ≥ 33.7 億美元(即對 FY2026 約 32.1 億的中位數 ≥ +5%),50%-60%,估 2026-03-12,FY2026 Q4 業績新聞稿(8-K EX-99.1),44.60,"收入 3,150 × 2.5 EV/收入 = 7,875;加淨現金 1,048.40 = 8,923.40;÷ 200.273 百萬股 = 44.56 美元",支持——D1 + D2 同時過關正是①錯殺注要的證據形態,
2026 SaaSpocalypse,Q2 Holdings,QTWO,大致不適用,第一輪,Q1a,公司在 2025 年度業績日發出的 2026 年訂閱收入增長指引 ≥ 12%;基準初步指引約 13.5%,65%-75%,估 2026-02-11,2025 年度 Q4 業績 8-K EX-99.1(2026 年指引段),48.20,"收入 840 × 3.5 EV/收入 = 2,940;加淨現金 74.80 = 3,014.80;÷ 62.530 百萬股 = 48.21 美元","支持,而且是本批五家之中機制最乾淨的一家",
2026 SaaSpocalypse,Q2 Holdings,QTWO,大致不適用,第一輪,Q1b,"已承諾 Backlog(剩餘履約義務)≥ 26 億美元,截至 2026-03-31;基數 2025-09-30 約 25.2 億美元",60%-70%,估 2026-05-06,2026 年 Q1 業績 8-K 及 10-Q,48.20,"收入 840 × 3.5 EV/收入 = 2,940;加淨現金 74.80 = 3,014.80;÷ 62.530 百萬股 = 48.21 美元","支持,而且是本批五家之中機制最乾淨的一家",
2026 SaaSpocalypse,Sprinklr,CXM,高度適用,第一輪,C1,"滾動 12 個月淨美元擴張率(NDE)≤ 100%,期末 2026-01-31;基準 102.3%(2025-10)、107.3%(2024-10)",60%-70%,估 2026-03-25(業績新聞稿 估 2026-03-11 亦可先看),FY2026 年報 10-K 的 MD&A;8-K EX-99.1,10.95,"收入 890 × 2.5 EV/收入 = 2,225;加淨現金 480.35 = 2,705.35;÷ 246.686 百萬股 = 10.97 美元(敘事適用那一邊為 6.87 美元)","不支持——C1 與 C2 成真等於確認敘事在這一家成立,這一跌是對的",
2026 SaaSpocalypse,Sprinklr,CXM,高度適用,第一輪,C2,"年訂閱收入 ≥ 100 萬美元的大客戶數 ≤ 143 家,截至 2026-01-31;基數 149(2025-01-31)→ 147 → 145",60%-70%,估 2026-03-11,FY2026 Q4 業績新聞稿(8-K EX-99.1),10.95,"收入 890 × 2.5 EV/收入 = 2,225;加淨現金 480.35 = 2,705.35;÷ 246.686 百萬股 = 10.97 美元(敘事適用那一邊為 6.87 美元)","不支持——C1 與 C2 成真等於確認敘事在這一家成立,這一跌是對的",
2026 SaaSpocalypse,Sprinklr,CXM,高度適用,第一輪,C3,"查實座位收入佔比,兩條路任一即算:(1)FY2026 10-K 首次出現按計價單位的收入拆分——按人頭收入佔訂閱收入 ≥ 40% 即坐實座位曝險,< 25% 則須下調至部分適用;(2)取 sprinklr.com/pricing 2025 年 12 月或之前的快照,per seat/per user 列價 SKU 佔多數(≥ 半數)即坐實",能查實 70%;查實後維持高度適用 65%,估 2026-03-25(第一條路);估 2026-09-30(第二條路),FY2026 10-K;存檔定價頁快照(須早於 2026-01-12),未給,"不適用——這是查證條,不是估值條;結果落在哪一邊就套用 C1/C2 那兩個價","查實「按人頭為主」= 更不支持買入;查實「按用量為主」= 降級至部分適用,才有再看一眼的價值",
2026 SaaSpocalypse,CrowdStrike,CRWD,大致不適用,第一輪,R1,"期末 ARR ≥ 51.5 億美元,截至 2026-01-31(即 Q4 淨新增 ARR ≥ 2.30 億美元);基數 49.2 億美元",65%-75%,估 2026-03-03,FY2026 Q4 業績 8-K EX-99.1,40.8,"收入 5,300 × 7.0 EV/收入 = 37,100;加淨現金 4,051.08 = 41,151;股權總值 411.5 億美元 ÷ 拆股後約 10.084 億股(2026-07-02 四拆一)","支持——但它跌得最淺,錯殺的賠率也最薄,不是本批最有吸引力的一注",
2026 SaaSpocalypse,CrowdStrike,CRWD,大致不適用,第一輪,R2,公司在同日發出的 FY2027 收入指引 ≥ 56.5 億美元(即對 FY2026 約 48.0 億 ≥ +18%),55%-65%,估 2026-03-03,FY2026 Q4 業績 8-K EX-99.1,40.8,"收入 5,300 × 7.0 EV/收入 = 37,100;加淨現金 4,051.08 = 41,151;股權總值 411.5 億美元 ÷ 拆股後約 10.084 億股(2026-07-02 四拆一)","支持——但它跌得最淺,錯殺的賠率也最薄,不是本批最有吸引力的一注",
2026 SaaSpocalypse,monday.com,MNDY,高度適用,第二輪(補登),MNDY-F1,整體淨美元留存率(Net Dollar Retention Rate)≤ 108%;基準 2026-06-30 為 109%,55%-70%,估 2026-11 上旬,6-K EX-99.1,108,"FY2027E 收入 1,290 × 3.0 EV/收入 = 3,870;加淨現金 1,740 = 5,610;÷ 51.7 百萬股 = US$108.5","成真不支持買入——留存率連續下滑代表既有客戶的座位淨擴張已經停住,替代論述得到直接支持,不屬錯殺",
2026 SaaSpocalypse,monday.com,MNDY,高度適用,第二輪(補登),MNDY-F2,"期末「付費用戶超過 10 名的客戶數」≥ 66,300(即較 2026-06-30 的 65,783 淨增 ≥ 500 家)",70%-80%,估 2026-11 上旬,6-K EX-99.1,108,"FY2027E 收入 1,290 × 3.0 EV/收入 = 3,870;加淨現金 1,740 = 5,610;÷ 51.7 百萬股 = US$108.5","成真支持買入——這是公司自己的核心留存披露口徑,亦是最貼近「座位有無被 AI 取代」的一個數;淨增未斷即代表市場所定價的座位崩塌尚未在申報數上出現",
2026 SaaSpocalypse,HubSpot,HUBS,高度適用,第二輪(補登),HUBS-F1,"季內客戶數淨增 ≤ 6,000 家(即 2026-09-30 期末客戶數 ≤ 312,446);基準 2026-06-30 客戶數 306,446",60%-75%,估 2026-11 上旬,8-K EX-99.1,142.4,"收入 2,900 × 2.0 EV/S = 5,800;加淨現金 1,658 = 7,458;÷ 52.386 百萬股 = 每股約 142.4","成真不支持買入——HubSpot 的增長極倚重低價位新客,而低價位客戶正是最容易被通用 AI 工具直接取代那一群;淨增塌到這個水平,代表替代已經咬入獲客端",
2026 SaaSpocalypse,HubSpot,HUBS,高度適用,第二輪(補登),HUBS-F2,"每客戶平均訂閱收入(Average Subscription Revenue Per Customer)≥ $11,900,且按報告基準按年增幅 ≥ 3%;基準 Q2 2026 為 $11,800、按報告基準增 4%",55%-70%,估 2026-11 上旬,8-K EX-99.1,142.4,"收入 2,900 × 2.0 EV/S = 5,800;加淨現金 1,658 = 7,458;÷ 52.386 百萬股 = 每股約 142.4","成真支持買入——單客戶價值仍在上行,代表既有客戶仍在加席位、加模組,座位計價的正循環未斷",
2026 SaaSpocalypse,Domo,DOMO,部分適用,第二輪(補登),DOMO-F1,"Q3 FY2027 訂閱收入 ≤ $69.0 百萬(即較上一季的 $70.36 百萬續跌,並按年下跌)",60%-75%,估 2026-12 上旬,10-Q,1.64,收入 290 × 0.5 EV/S = 145;減淨債務 76.3 = 68.7;÷ 41.798 百萬股 = 每股約 1.64,成真不支持買入,"若對 Progress 的資產出售於 2026-11-30 前完成、公司不再交 Q3 10-Q,本條作廢不計勝負(2026-09-03 10-Q 另載持續經營重大疑慮)"
2026 SaaSpocalypse,Domo,DOMO,部分適用,第二輪(補登),DOMO-F2,期末訂閱合約的剩餘履約義務 ≥ $360 百萬(即三個月內較 2026-07-31 的 $387.6 百萬流失少於 7%),50%-65%,估 2026-12 上旬,10-Q,1.64,收入 290 × 0.5 EV/S = 145;減淨債務 76.3 = 68.7;÷ 41.798 百萬股 = 每股約 1.64,"成真本身不足以支持買入——這家的價格已被持續經營疑慮與資產出售主導,合約基礎守不守得住,對股權價值的意義已經很有限。這一條的用途是檢驗判級,不是選股","若對 Progress 的資產出售於 2026-11-30 前完成、公司不再交 Q3 10-Q,本條作廢不計勝負(2026-09-03 10-Q 另載持續經營重大疑慮)"
2026 SaaSpocalypse,Atlassian,TEAM,部分適用,第二輪(補登),TEAM-F1,Q1 FY2027 雲端收入按年增幅 ≤ 26.0%;基準 Q4 FY2026 為按年增 31%,60%-75%,估 2026-10 下旬,8-K EX-99.1,85,"收入 6,300 × 3.25 EV/S = 20,475;加淨現金 1,790 = 22,265;÷ 263.3 百萬股 = 每股約 85","成真不支持買入——雲端是這家按使用者計價最集中的一塊,增速由三十一跌到二十六以下,代表席位擴張正在放緩,不能再當市場錯殺",
2026 SaaSpocalypse,Atlassian,TEAM,部分適用,第二輪(補登),TEAM-F2,同一份股東信中公司對 FY2027 全年雲端收入增長的指引 ≥ 25.5%(維持或上調),55%-70%,估 2026-10 下旬,8-K EX-99.1,85,"收入 6,300 × 3.25 EV/S = 20,475;加淨現金 1,790 = 22,265;÷ 263.3 百萬股 = 每股約 85","成真支持買入——公司在單季減速之下仍然不肯下調全年雲端指引,代表企業級遷移的合約能見度未受影響,替代尚未反映在管理層自己的帳上",
2026 SaaSpocalypse,Braze,BRZE,部分適用,第二輪(補登),BRZE-F1,整體美元基準淨留存率(dollar-based net retention rate)≤ 109%;基準截至 2026-07-31 止十二個月為 110%,55%-70%,估 2026-12 上旬,8-K EX-99.1,12.80,"收入 700 × 1.5 EV/收入 = 1,050;加淨現金 383.27 = 1,433.27;÷ 112.215 百萬股 = 12.77,取整報 12.80 美元","成真不支持買入——Braze 按觸及消費者人數與訊息量計價,留存率跌代表客戶把觸及量收縮或轉走,不是單純的座位問題,而是用量本身在流失",
2026 SaaSpocalypse,Braze,BRZE,部分適用,第二輪(補登),BRZE-F2,"ARR ≥ $500,000 的客戶數 ≥ 380 家(即較 2026-07-31 的 361 家淨增 ≥ 19 家)",60%-75%,估 2026-12 上旬,8-K EX-99.1,12.80,"收入 700 × 1.5 EV/收入 = 1,050;加淨現金 383.27 = 1,433.27;÷ 112.215 百萬股 = 12.77,取整報 12.80 美元","成真支持買入——大客戶數繼續以按年兩成以上的速度增加,說明高價值那一端沒有被自建或通用工具吃掉,替代論述在最有錢那批客戶身上不成立",
2026 SaaSpocalypse,BlackLine,BL,部分適用,第二輪(補登),BL-F1,美元基準淨收入留存率 ≤ 101%;基準截至 2026-06-30 為 102%,55%-70%,估 2026-11 上旬,8-K EX-99.1,26.7,"FY2027E 收入 676 × 2.5 EV/收入 = 1,690;減淨負債 101 = 1,589;÷ 59.487 百萬股 = US$26.7(不含任何併購溢價)","成真不支持買入——留存率跌穿一百零一,代表存量按座位計價的那一塊淨流失已經蓋過加購,座位收縮正在直接扣減收入","若 SAP 收購完成並停止申報,本條作廢不計勝負"
2026 SaaSpocalypse,BlackLine,BL,部分適用,第二輪(補登),BL-F2,"期末客戶數 ≥ 4,260 家(即不出現淨減);基準 2026-06-30 為 4,260 家",65%-80%,估 2026-11 上旬,8-K EX-99.1,26.7,"FY2027E 收入 676 × 2.5 EV/收入 = 1,690;減淨負債 101 = 1,589;÷ 59.487 百萬股 = US$26.7(不含任何併購溢價)","成真支持買入——SOX 審計軌跡與三十個 ERP 整合若真的有黏性,最先反映的就是客戶數不流失(即使每戶座位在縮);客戶數守住而留存率跌,正是「席位在縮、關係未斷」那個中間狀態","若 SAP 收購完成並停止申報,本條作廢不計勝負"
2026 SaaSpocalypse,Workday,WDAY,部分適用,第二輪(補登),WDAY-F1,季度訂閱收入按年增幅 ≤ 13.0%;基準 Q2 FY2027 為按年增 13.9%,60%-75%,估 2026-11 下旬,8-K EX-99.1,123,"收入 9,760 × 3.0 EV/S = 29,280;加淨現金 3,857 = 33,137;÷ 269.7 百萬股 = 每股約 123","成真不支持買入——公司自認訂閱價格很大程度按客戶員工人數定,訂閱收入增速跌穿十三,即人頭基數的擴張已經停住,替代(或客戶自身裁員)開始入帳",
2026 SaaSpocalypse,Workday,WDAY,部分適用,第二輪(補登),WDAY-F2,十二個月訂閱收入積壓(cRPO)按年增幅 ≥ 13.5%;基準 Q2 FY2027 為按年增 14.2%,55%-70%,估 2026-11 下旬,8-K EX-99.1,123,"收入 9,760 × 3.0 EV/S = 29,280;加淨現金 3,857 = 33,137;÷ 269.7 百萬股 = 每股約 123","成真支持買入——積壓增速守住(尤其若仍高於當期訂閱收入增速),代表續約與多年期合約仍在按時簽落,受監管的 HR/財務正本沒有被自建方案侵蝕",
2026 SaaSpocalypse,DocuSign,DOCU,大致不適用,第二輪(補登),DOCU-F1,"截至 2026-10-31,IAM 佔總 ARR 的百分比 ≥ 17.0%;基準 2026-07-31 為 15.1%、2026-04-30 為 12.6%",60%-72%,估 2026-12 上旬,8-K EX-99.1,44.60,"收入 3,150 × 2.5 EV/收入 = 7,875;加淨現金 1,048.40 = 8,923.40;÷ 200.273 百萬股 = 44.56 美元","支持。這一條直接考「敘事對它不適用」——若 AI 正在削走 DocuSign 的計價單位,客戶不會同時把更大比重的 ARR 搬去它的 AI 協議平台。IAM 佔比續升等於代理帶來的是增量而非替代。但單憑這一條不構成買入,仍須過估值與 200 日線兩關",
2026 SaaSpocalypse,DocuSign,DOCU,大致不適用,第二輪(補登),DOCU-F2,"FY2027 全年 ARR 增長指引的下限維持 ≥ 8.50%(不下調),且 Q3 實際收入 ≥ 8.86 億美元",70%-82%,估 2026-12 上旬,8-K EX-99.1,44.60,"收入 3,150 × 2.5 EV/收入 = 7,875;加淨現金 1,048.40 = 8,923.40;÷ 200.273 百萬股 = 44.56 美元","支持,但屬輔證。ARR 增長指引不下調,等於裝機基礎沒有在縮——這正是「實際替代有限」與「替代尚未反映」的分界線;若代理已經咬入,最先動的就是 ARR 而不是當季收入",
2026 SaaSpocalypse,Q2 Holdings,QTWO,大致不適用,第二輪(補登),QTWO-F1,"截至 2026-09-30 的 Subscription ARR ≥ 8.45 億美元,且按年增長 ≥ 13%;基準 2026-06-30 為 8.255 億、按年 +15%",70%-80%,估 2026-10-28,8-K EX-99.1,48.20,"收入 840 × 3.5 EV/收入 = 2,940;加淨現金 74.80 = 3,014.80;÷ 62.530 百萬股 = 48.21 美元","支持。這條門檻的計量單位是存戶與交易,不是行員人頭——ARR 續以雙位數增長,即代表「銀行裁人所以少買座位」這個機制在這一家身上沒有發生。這是本組七家之中機制最乾淨的一條","觀察日待核:補登檔估算表寫 2026-11-04,條文寫 2026-10-28,以公司實際公佈日為準"
2026 SaaSpocalypse,Q2 Holdings,QTWO,大致不適用,第二輪(補登),QTWO-F2,"截至 2026-09-30 的 Backlog ≥ 28.5 億美元,且按年增長 ≥ 12%;基準 2026-06-30 約 28 億、按年 +17%、按季 +1%",55%-68%,估 2026-10-28,8-K EX-99.1(如未於業績稿披露轉核同期 10-Q),48.20,"收入 840 × 3.5 EV/收入 = 2,940;加淨現金 74.80 = 3,014.80;÷ 62.530 百萬股 = 48.21 美元","支持,但只作輔證。Backlog 是銀行已經簽落去的多年承諾;它續增等於合約端沒有出現提前收縮,與 F1 一同成立才算完整","觀察日待核:補登檔估算表寫 2026-11-04,條文寫 2026-10-28,以公司實際公佈日為準"
2026 SaaSpocalypse,Guidewire,GWRE,大致不適用,第二輪(補登),GWRE-F1,"在 FY2027 Q1 業績中,FY2027 期末 ARR 指引的下限維持 ≥ 14.50 億美元(不下調、不收窄至 14.50 億以下)",72%-82%,估 2026-12 上旬,8-K EX-99.1,128.4,"FY2028E 收入 1,700 × 6.0 EV/收入 = 10,200;加淨現金 719 = 10,919;÷ 85.019 百萬股 = US$128.4","支持。ARR 的分母是保費不是人頭——指引不下調,等於「代理減人手所以收入減」這個機制在 Guidewire 的計價基礎上不成立。這是判級被證偽與否最直接的一格",
2026 SaaSpocalypse,Guidewire,GWRE,大致不適用,第二輪(補登),GWRE-F2,FY2027 Q1 的訂閱與支援收入按年增長 ≥ 24%;基準 FY2026 全年 +33%、FY2027 全年指引隱含約 +28%,62%-75%,估 2026-12 上旬,8-K EX-99.1,128.4,"FY2028E 收入 1,700 × 6.0 EV/收入 = 10,200;加淨現金 719 = 10,919;÷ 85.019 百萬股 = US$128.4","支持。訂閱與支援是掛 DWP 那一條線;它續以兩成以上增長,即保費規模在升、平台承載的交易在升,與「AI 代理令保險公司少買軟件」相反",
2026 SaaSpocalypse,Salesforce,CRM,部分適用,第二輪(補登),CRM-F1,FY2027 Q3 披露的 cRPO 按年增長 ≥ 11%;基準 2026-08-26 為 +14%,60%-72%,估 2026-12 上旬,8-K EX-99.1(交叉核同期 10-Q),145.0,"收入 38,000 × 3.5 EV/S = 133,000;加淨現金 2,885 = 135,885;÷ 937 百萬股 = 每股約 145.0","支持——但只支持一半。cRPO 守住雙位數只證明未來十二個月的已簽金額沒有縮,即「替代尚未反映」與「實際替代有限」之中偏向後者",
2026 SaaSpocalypse,Salesforce,CRM,部分適用,第二輪(補登),CRM-F2,"同一份 FY2027 Q3 10-Q 的〈Revenues by service offering〉表中,Sales Cloud 收入按年增長 ≤ 6%(按年同期比較數在同一表內,不需外部基準)",40%-55%,估 2026-12 上旬,10-Q,145.0,"收入 38,000 × 3.5 EV/S = 133,000;加淨現金 2,885 = 135,885;÷ 937 百萬股 = 每股約 145.0","不支持。Sales Cloud 是七條產品線之中最貼近按人頭賣的一條;它先於整體失速,正是「一個客戶都不走,但每個客戶少買三成牌照」的形態。這一條成真等於敘事在 CRM 身上真的咬到",
2026 SaaSpocalypse,ServiceNow,NOW,部分適用,第二輪(補登),NOW-F1,2026 Q3 披露的 cRPO 按年增長 ≥ 19.0%(公司自己指引 19.5%);基準 2026 Q2 為 +21%,72%-85%,估 2026-10-28,8-K EX-99.1,91.5,"收入 14,500 × 6 EV/S = 87,000;加淨現金 8,186 = 95,186;÷ 10.40 億股(2025-12-18 五拆一還原後)= 每股約 91.5","支持一半。cRPO 達標只代表已簽合約仍在,不代表下一輪續約時席位不會被砍——按判級的邏輯,替代本來就只會在續約才反映",
2026 SaaSpocalypse,ServiceNow,NOW,部分適用,第二輪(補登),NOW-F2,2026 Q3 披露的 ACV 逾 500 萬美元客戶數 ≤ 673 家(即該季淨增 ≤ 15 家);基準 2026-06-30 為 658 家、按年約 +23%,30%-45%,估 2026-10-28,8-K EX-99.1,91.5,"收入 14,500 × 6 EV/S = 87,000;加淨現金 8,186 = 95,186;÷ 10.40 億股(2025-12-18 五拆一還原後)= 每股約 91.5","不支持。最大那批客戶不再往上加,是席位被代理吃掉的第一個看得見的地方——大客戶最有能力自建代理,亦最先做這件事",
2026 SaaSpocalypse,RingCentral,RNG,部分適用,第二輪(補登),RNG-F1,"2026 Q3 訂閱收入按年增長 ≥ 5.0%,且同一份業績中全年訂閱收入指引下限維持 ≥ 25.50 億美元(不下調);基準 2026 Q2 訂閱收入按年 +5.8%",62%-75%,估 2026-11-02,8-K EX-99.1,36.0,"收入 2,350 × 1.8 EV/S = 4,230;減淨債務 1,111.5 = 3,118.5;÷ 86.565 百萬股 = 每股約 36.0","支持一半,而且要打折看。訂閱增長守住 5% 只證明流失沒有加速;RNG 另有淨債務約 10.1 億這一層獨立風險,不因這條成真而消失",
2026 SaaSpocalypse,RingCentral,RNG,部分適用,第二輪(補登),RNG-F2,"2026 Q3 披露的「使用付費原生 AI 產品的客戶佔 ARR 百分比」由 13% 升至 ≥ 18%,而同期訂閱收入按年增長 ≤ 6%",25%-40%,估 2026-11-02,8-K EX-99.1,36.0,"收入 2,350 × 1.8 EV/S = 4,230;減淨債務 1,111.5 = 3,118.5;÷ 86.565 百萬股 = 每股約 36.0","不支持。AI 滲透率跳升而總訂閱收入不加速,意思是 AI 賣出去的錢在抵銷同一批客戶減少的席位——那就是敘事在這一家身上真的成立的樣子",
2026 SaaSpocalypse,Toast,TOST,大致不適用,第二輪(補登),TOST-F1,"截至 2026-09-30 的總門店數 ≥ 187,000 家,且該季淨增門店 ≥ 6,500 家;基準 2026-06-30 約 180,000 家、該季淨增約 9,500 家",65%-78%,估 2026-11-03,8-K EX-99.1,26,"收入 6,430 × 2.2 EV/S = 14,146;加淨現金 1,857 = 16,003;÷ 609 百萬股 = 每股約 26","支持。門店是 Toast 訂閱那一半的計價單位,而餐廳門店數不會因為 AI 代理而減少——門店淨增守住,等於這個計價單位沒有被代理侵蝕。但 Toast 急性期只跌 29.4%,未過①的跌幅閘,支持的是判級而非落注",
2026 SaaSpocalypse,Toast,TOST,大致不適用,第二輪(補登),TOST-F2,"2026 Q3 的 ARR 按年增長 ≥ 21%,且 financial technology solutions 收入佔總收入 ≥ 80%;基準 2026-06-30 ARR 24 億、+25%,支付佔比 82.3%",70%-82%,估 2026-11-03,8-K EX-99.1,26,"收入 6,430 × 2.2 EV/S = 14,146;加淨現金 1,857 = 16,003;÷ 609 百萬股 = 每股約 26","支持,而且是本組最直接考「計價單位」那一條。支付佔比守在八成以上,等於這家公司的收入絕大部分掛在餐廳的交易額上,不是掛在人頭上;代理若真的令餐廳做多了生意,這一格不跌反升",
2026 SaaSpocalypse,Paycom,PAYC,大致不適用,第二輪(補登),PAYC-F1,"2026 Q3 業績公佈時,全年 2026 總收入指引的中位數不低於 22.045 億美元(即不低於 2026-08-05 給出的 21.97–22.12 億區間中位);中位數下調即為不成立",70%-85%,估 2026-11-04(兜底 2026-11-30),8-K EX-99.1(交叉核 10-Q),124.8,"收入 1,900 × 3.5 EV/S = 6,650;加淨現金 375 = 7,025;÷ 56.269 百萬股 = 每股約 124.8","支持(弱)。它只證明沒有出現肉眼可見的流失,不足以單獨構成買入理由",
2026 SaaSpocalypse,Paycom,PAYC,大致不適用,第二輪(補登),PAYC-F2,2026 財年 10-K 揭示的年度收入留存率(annual revenue retention rate)不低於 88%;低於 88% 即為不成立,65%-80%,估 2027-02-17(兜底 2027-03-15),10-K,124.8,"收入 1,900 × 3.5 EV/S = 6,650;加淨現金 375 = 7,025;÷ 56.269 百萬股 = 每股約 124.8","支持。留存率守住 88%,直接反駁「代理令客戶棄用出糧系統」這條敘事",
2026 SaaSpocalypse,Snowflake,SNOW,大致不適用,第二輪(補登),SNOW-F1,FY2027 Q3 的淨收入留存率不低於 120%;基準 FY2027 Q2 為 126%;跌穿 120% 即為不成立,75%-88%,估 2026-12-02(兜底 2026-12-31),8-K EX-99.1,145.7,"FY2028E 收入 5,973 × 8.0 EV/收入 = 47,784;加淨現金 2,090 = 49,874;÷ 342.2 百萬股 = US$145.7","支持。按用量計費之下,留存率守在 120% 以上等於同一批客戶用得更多,正面對沖「代理取代」的說法",
2026 SaaSpocalypse,Snowflake,SNOW,大致不適用,第二輪(補登),SNOW-F2,FY2027 Q3 的過去十二個月產品收入逾 100 萬美元客戶數不少於 850 家(即較 828 家淨增 22 家或以上),65%-80%,估 2026-12-02(兜底 2026-12-31),8-K EX-99.1,145.7,"FY2028E 收入 5,973 × 8.0 EV/收入 = 47,784;加淨現金 2,090 = 49,874;÷ 342.2 百萬股 = US$145.7","支持(弱)。大客戶群仍在擴張,但這條比 F1 更受單季簽單節奏影響",
2026 SaaSpocalypse,CrowdStrike,CRWD,大致不適用,第二輪(補登),CRWD-F1,FY2027 Q3 期末 ARR 不低於 61.0 億美元(即單季淨新增 ARR 不少於 2.60 億);基準 FY2027 Q2 期末 ARR 58.4 億,70%-85%,估 2026-12-02(兜底 2026-12-31),8-K EX-99.1,40.8,"收入 5,300 × 7.0 EV/收入 = 37,100;加淨現金 4,051.08 = 41,151;股權總值 411.5 億美元 ÷ 拆股後約 10.084 億股(2026-07-02 四拆一)","支持。按端點數計費之下 ARR 續增,等於受保護端點沒有因為代理而減少",
2026 SaaSpocalypse,CrowdStrike,CRWD,大致不適用,第二輪(補登),CRWD-F2,"FY2027 Q3 公佈時,全年 FY2027 總收入指引下限不低於 59.911 億美元;下限下調即為不成立",78%-90%,估 2026-12-02(兜底 2026-12-31),8-K EX-99.1,40.8,"收入 5,300 × 7.0 EV/收入 = 37,100;加淨現金 4,051.08 = 41,151;股權總值 411.5 億美元 ÷ 拆股後約 10.084 億股(2026-07-02 四拆一)","支持(弱)。它只是「沒有壞消息」,不是增量利好",
2026 SaaSpocalypse,Datadog,DDOG,大致不適用,第二輪(補登),DDOG-F1,"2026 Q3 的 ARR 達 10 萬美元或以上客戶數不少於約 4,800 家(即較 4,720 家淨增約 80 家或以上)",70%-85%,估 2026-11-05(兜底 2026-11-30),8-K EX-99.1,80,"收入 3,660 × 7.0 EV/S = 25,620;加淨現金 3,158 = 28,778;÷ 362.0 百萬股 = 每股約 80","支持。按主機數與已索引日誌事件數計費之下,高消費客戶群續增,直接呼應「代理跑得多、用量反而多」",
2026 SaaSpocalypse,Datadog,DDOG,大致不適用,第二輪(補登),DDOG-F2,"2026 Q3 公佈時,全年 2026 收入指引中位數不低於 44.6 億美元(即不下調 2026-08-06 所給 44.5–44.7 億區間的中位)",72%-88%,估 2026-11-05(兜底 2026-11-30),8-K EX-99.1,80,"收入 3,660 × 7.0 EV/S = 25,620;加淨現金 3,158 = 28,778;÷ 362.0 百萬股 = 每股約 80","支持(弱)。留意 2026 Q2 公佈日雖然指引上調,股價仍大跌,說明市場對用量放緩的敏感度高於指引本身——這條門檻成立不等於股價會跟",
2026 SaaSpocalypse,Twilio,TWLO,大致不適用,第二輪(補登),TWLO-F1,2026 Q3 的按金額計淨擴張率不低於 112%;基準 2026 Q2 為 116%;跌穿 112% 即為不成立,72%-85%,估 2026-10-29(兜底 2026-11-30),8-K EX-99.1(交叉核 10-Q),97.2,"FY2027E 收入 5,325 × 2.5 EV/收入 = 13,313;加淨現金 1,459 = 14,772;÷ 152.068 百萬股 = US$97.1","支持。訊息與語音按用量計價,淨擴張率守在 112% 以上,等於現有客戶的訊息與通話量仍在增長——這正是「AI 代理打的電話反而經它的管道」的可觀察形態",
2026 SaaSpocalypse,Twilio,TWLO,大致不適用,第二輪(補登),TWLO-F2,"2026 Q3 公佈時,全年 2026 有機收入增長指引下限不低於 13%;基準 13%–13.5%",68%-82%,估 2026-10-29(兜底 2026-11-30),8-K EX-99.1,97.2,"FY2027E 收入 5,325 × 2.5 EV/收入 = 13,313;加淨現金 1,459 = 14,772;÷ 152.068 百萬股 = US$97.1","支持(弱)。有機口徑排除了併購與匯率的干擾,比報告口徑乾淨,但仍屬「沒有壞消息」級別",
