"編號","名稱","類別","白話一句","公式或做法","所需輸入","免費可算","預測力證據出處","OSAP 訊號名","Karst 適用度"
"C04","Bartram-Grinblatt 不可知基本面分析","學術錯價訊號","不預設任何理論:每個月用全市場公司的財報數字跑一條迴歸,算出「同類財報應該值多少市值」,實際市值偏離就當作錯價,買偏低的、沽偏高的。偏離會在其後大約三年之內收斂。","每月橫斷面以市值對 28 項會計科目(資產負債表 16 項、損益表 11 項、現金流量表 1 項)做最小平方迴歸,殘差即錯價訊號;另有 Theil-Sen 穩健迴歸版本","損益表、資產負債表、現金流量表、市價","可(28 項科目全部在三張標準報表之內)","Bartram & Grinblatt (2018), Journal of Financial Economics 128(1): 125–147, DOI 10.1016/j.jfineco.2016.11.008——樣本 1987-03 至 2012-12(310 個月),知情時點數據。最高減最低五分位次月回報:等權 0.42%/月(年化 5.0%)、市值加權 0.55%(6.6%);Theil-Sen 訊號等權年化 8.2%、市值加權 5.8%,最後十二年 12.1%/9.5%;Fama-MacBeth 全部設定顯著,含毛利率、應計、盈利孳息等全套控制後最小 t=2.82,傳統控制下 t=4.37;作者總結風險調整後 4%–10%/年;夏普 0.63–1.01(最小平方)、最高 1.63(Theil-Sen);訊號衰減至零需 34 個月;極端五分位年換手 262%。後續:Bartram & Grinblatt (2021), JFE 139(1): 234–259","—(OSAP 無)","最高——四大類之中最適合 Karst 的一條:只需三張報表、不需分析員預測、原文明文指出對大型股一樣有效,而且方法本身就是一條可直接橫斷面化的因子。⚠ 年換手 262% 要計入交易成本"
"C05","Rhodes-Kropf 錯價三分解","學術錯價訊號","把市帳率拆成三截:這間公司相對同業貴了多少、整個行業相對長期水平貴了多少、以及行業長期本身值多少。第一截才是真正的個股錯價。","市值減帳面 = [市值 − 行業當年價值] + [行業當年價值 − 行業長期價值] + [行業長期價值 − 帳面];估值迴歸 m = α0 + α1·b + α2·ln|淨利| + α3·I(淨利<0)·ln|淨利| + α4·槓桿,市值與帳面取對數,按 12 個 Fama-French 行業逐年估","損益表、資產負債表、市價","可","Rhodes-Kropf, Robinson & Viswanathan (2005), Journal of Financial Economics 77(3): 561–603, DOI 10.1016/j.jfineco.2004.06.015——1978–2001,行業迴歸平均 R² 80%–94%(原文是併購研究);回報證據 Golubov & Konstantinidi (2019)「Where Is the Risk in Value?」, Journal of Finance 74(6): 3135–3186, DOI 10.1111/jofi.12836——1975-07 至 2013-06,公司特有錯價十分位多空 0.85%/月(夏普 0.90),帳面市值比本身 0.75%/月,而行業誤差與長期價值對帳面只有約 0.12%/月且不顯著","—(OSAP 無)","高——與 C04 同族可共用同一條迴歸管線;Golubov-Konstantinidi 已證實「價值溢酬幾乎全部來自公司特有錯價那一格」,即這條分解比單純帳面市值比更值得做"
"C06","Ou-Penman Pr 綜合分","學術錯價訊號","把幾十個財報比率一次過餵入統計模型,得出「明年盈利上升的機會率」,機會率高就買入。","以 68 個會計描述變數做邏輯迴歸,輸出 Pr;買 Pr 大於 0.60、沽 Pr 小於 0.40","損益表、資產負債表、現金流量表","可","Ou & Penman (1989), Journal of Accounting and Economics 11(4): 295–329, DOI 10.1016/0165-4101(89)90017-7(⚠ 常被誤引為 JAR);二手來源報 24 個月市場調整回報 14.53%,但 Holthausen & Larcker 複製只得 2.23%–3.74%;68 個描述變數已獨立核實,最終邏輯迴歸選入的變數數目未核實","—(OSAP 無)","中——是 C04 的前身;複製差距巨大(14.53% 對 2.2%),要當作低置信度處理"
"C07","Lev-Thiagarajan 與 Abarbanell-Bushee 基本面訊號","學術錯價訊號","把分析員實際會看的十二個訊號(存貨增長快過收入、毛利率轉差之類)逐個計分再加總。","12 個訊號:存貨、應收帳、資本開支、研發、毛利率、銷售及管理費用、呆帳撥備、有效稅率、訂單積壓、勞動力、後進先出盈利、審計保留意見","損益表、資產負債表(其中四項需附註)","部分(訂單積壓、呆帳撥備、後進先出盈利、審計意見四項要附註,免費來源沒有;其餘八項可算)","Lev & Thiagarajan (1993), Journal of Accounting Research 31(2): 190–215, DOI 10.2307/2491270;Abarbanell & Bushee (1998), The Accounting Review 73(1): 19–45——十二個月累計異常回報 13.2%(⚠ t 值未核實,數字來自二手綜述);OSAP 記錄各訊號 t 值(1974–1988):資本開支變動 2.91、銷售對存貨增長 2.37、銷售對管理費用 2.07、毛利率 1.86","ChInvIA(部分)","中——訊號直觀,但十二項之中四項要附註;實際可做的是八項的子集"
"C08","Sloan 應計項目","學術錯價訊號","公司帳面賺到的錢,有多少是真正收到現金,有多少只是會計上的應收應付。靠會計數字撐起來的盈利,往往下一年就會現形。","應計 = (流動資產變動 − 現金變動) − (流動負債變動 − 短期債務變動 − 應付稅項變動) − 折舊,除以期初總資產;訊號取負號","資產負債表、損益表","可","Sloan (1996), The Accounting Review 71(3): 289–315——1962–1991,40,679 個公司年(紐交所/美交所);規模調整對沖回報第一年 10.4%(t=4.71)、第二年 4.8%(t=3.15)、第三年 2.9%(t=1.64);30 年中 28 年為正;⚠ 現代打折:Hou-Xue-Zhang 營運應計市值加權 −0.27%/月(t=−2.19)、等權 −0.44%(t=−3.4),原文直指「只有原始估計的一半」;OSAP 全樣本 0.383%/月、t=6.07","Accruals","高——最經典的會計錯價訊號,輸入全在兩張報表之內,現代複製仍然通得過(但量級減半);首批必做"
"C09","百分比應計(Percent Accruals)","學術錯價訊號","與上一項相同,但用盈利本身作分母而不是總資產,對細價股與虧損公司較為穩定。","應計 ÷ 盈利","損益表、資產負債表","可","Hafzalla, Lundholm & Van Winkle (2011), The Accounting Review 86(1): 209–236, DOI 10.2308/accr.00000011——摘要逐字:百分比應計「yields significantly larger annual hedge returns than the traditional accruals measure, and does so mostly by improving the long position in low-accrual stocks」(⚠ 確切百分比未核實);OSAP 複製 1989–2008:PctAcc 0.97%/月 t=3.29、PctTotAcc 0.71%/月 t=3.29;全樣本 PctAcc 0.394%/月、t=4.77","PctAcc、PctTotAcc","高——OSAP 全樣本比 C08 更穩定,建議與 C08 一併做;⚠ 分母用絕對值是後人慣例,原文只說按盈利縮放"
"C10","總應計與可靠度分拆","學術錯價訊號","Sloan 應計的擴大版本:連長期資產與融資科目一併計算在內,並按各截的可靠程度分開處理。","總應計 = 營運資金變動 + 非流動營運項變動 + 金融項變動,各自除以平均總資產","資產負債表","可","Richardson, Sloan, Soliman & Tuna (2005), Journal of Accounting and Economics 39(3): 437–485, DOI 10.1016/j.jacceco.2005.04.005——1962–2001,108,617 個公司年。持續性迴歸:總應計 −0.082 (t=−16.13)、營運資金 −0.116 (t=−15.05)、非流動營運 −0.047 (t=−12.39)、金融項 +0.015 (t=2.86,即融資那一截才是可靠的);規模調整年度對沖回報:總應計 13.3%、營運資金 12.8%、非流動營運 16.5%、淨營運資產 18.0%、金融項 −8.2%;⚠ 現代打折:Hou-Xue-Zhang 市值加權只有 −0.22%/月 (t=−1.63);OSAP 全樣本 0.274%/月、t=3.28","TotalAccruals","高——分拆本身有資訊價值(融資那一截方向相反),但市值加權下現代複製已不顯著,量級要按 OSAP 而非原文"
"C11","異常應計(修正 Jones 模型)","學術錯價訊號","先用行業平均算出「以你的收入與資產規模,正常應該有多少應計」,超出的部分就當作人為谷高盈利。","Jones (1991):總應計/前期資產 = α1(1/前期資產) + α2(收入變動/前期資產) + α3(固定資產/前期資產) + ε;修正版在事件期把收入變動改為(收入變動 − 應收變動),參數仍由未修正模型估計。實務用逐年二位 SIC 行業橫斷面版本","損益表、資產負債表","可(但需要完整的行業年度橫斷面)","Jones (1991), Journal of Accounting Research 29(2), DOI 10.2307/2491047;Dechow, Sloan & Sweeney (1995), The Accounting Review 70(2): 193–225;Xie (2001), TAR 76(3);⚠ OSAP 原文 0.917%/月 t=8.43,但全樣本已跌至 0.151%/月、t=1.67(不顯著)","AbnormalAccruals","中——典型的公布後衰減案例;而且是殘差型因子,必須有完整行業年度橫斷面才算得出"
"C12","淨營運資產(NOA)","學術錯價訊號","公司的資產負債表膨脹了多少。帳面膨脹得快,通常代表過去的盈利是會計堆出來的,不是現金賺回來的。","淨營運資產 = (營運資產 − 營運負債) ÷ 上期總資產;營運資產 = 總資產 − 現金及短期投資;營運負債 = 總資產 − 短期債務 − 長期債務 − 少數股東權益 − 優先股 − 普通股權益","資產負債表","可","Hirshleifer, Hou, Teoh & Zhang (2004), Journal of Accounting and Economics 38: 297–331, DOI 10.1016/j.jacceco.2004.10.002——1964-07 至 2002-12(462 個月),141,254 個公司年;等權、經規模與帳面市值比與動量調整,第一至第十分位差:第一年 1.24%/月 (t=10.31)、第二年 0.83% (t=7.66)、第三年 0.57% (t=5.44);OSAP 複製 1.48%/月 t=8.45,全樣本 0.743%/月、t=6.11","NOA","高——量級大、t 值高、輸入只需資產負債表,而且效應延續三年;首批建議"
"C13","淨營運資產變動(dNOA)","學術錯價訊號","與上一項相同,但看一年之內膨脹了多少,而不是膨脹到多大。","淨營運資產的按年變動 ÷ 上期總資產","資產負債表","可","Hirshleifer et al. (2004), JAE 38;OSAP 原文 t=8.85,全樣本 0.744%/月、t=8.43","dNoa","高——OSAP 全樣本 t 值屬最高的一批;首批建議"
"C14","長期淨營運資產增長","學術錯價訊號","公司的長期資產擴張得多快;擴張太快的公司,往後盈利通常回落。","長期淨營運資產的按年增長","資產負債表","可","Fairfield, Whisenant & Yohn (2003), The Accounting Review 78(1): 353–371, DOI 10.2308/accr.2003.78.1.353——摘要:應計與長期淨營運資產增長對次年資產回報率有等同的負向關係,市場對兩者等同地高估,即 Sloan 的應計異象是一個更廣泛的增長異象的特例(⚠ 樣本期與對沖回報未核實);OSAP 原文 0.61%/月,全樣本 0.173%/月、t=2.88","GrLTNOA","中——概念重要(它把應計異象收編為增長異象的一格),但量級偏低"
"C15","資產增長","學術錯價訊號","公司總資產一年之內大了多少。膨脹得快的公司往後回報通常較差,擴張過度是常見毛病。","總資產按年百分比變動(t−2 至 t−1 財年);訊號取負號","資產負債表","可","Cooper, Gulen & Schill (2008), Journal of Finance 63(4): 1609–1651, DOI 10.1111/j.1540-6261.2008.01370.x——1968–2003(35 年);第十減第一分位等權 −1.73%/月 (t=−8.45)、市值加權 −1.05%/月 (t=−5.04);三因子 alpha 等權 −1.63% (t=−8.33)、市值加權 −0.70% (t=−3.84);作者稱風險調整後利差市值加權 8%/年、等權 20%/年,年度市值加權夏普 1.07(對比帳面市值比 0.37、規模 0.13、動量 0.73);Hou-Xue-Zhang 複製通過:−0.44%/月 (t=−2.89);OSAP 全樣本 0.905%/月、t=7.44","AssetGrowth","高——輸入最簡單(只需連續兩年總資產)、量級屬最大的一批、現代複製通得過;首批必做"
"C16","投資對收入比","學術錯價訊號","公司投資的金額相對它收入的比例;相對於過去幾年的自身水平投得太多,通常不是好事。","本期比率 ÷ 過去三年平均 減 1,其中比率 = 資本開支 ÷ 當年銷售","損益表、現金流量表","可(需要四年歷史)","Titman, Wei & Xie (2004), Journal of Financial and Quantitative Analysis 39(4): 677–700, DOI 10.1017/S0022109000003173——財務資料 1969–1995、回報檢定 1973-07 至 1996-06;特徵調整 0.168%/月 (t=2.91) 約 2.0%/年,四因子 alpha 0.192%/月 (t=3.25) 約 2.3%/年,效應延續至第五年;高現金流公司 alpha 0.256%/月、低現金流僅 0.059%(不顯著),支持「帝國建造」解釋;Hou-Xue-Zhang 複製通過 −0.30%/月 (t=−2.13)","Investment","中——量級細但現代複製通得過,而且延續五年;需要四年歷史"
"C17","資本開支增長(兩年或三年)","學術錯價訊號","公司購置機器廠房的開支,相對過去兩三年的平均上升了多少。","當期資本開支 ÷ 過去二至三年平均 減 1;訊號取負號","現金流量表","可(需要三至四年歷史)","Anderson & Garcia-Feijoo (2006), Journal of Finance 61(1): 171–194;OSAP 原文 0.57%/月、t=5.05,全樣本 0.371%/月、t=6.26","grcapx、grcapx3y","高——OSAP 全樣本比原文更穩定;但需要三四年歷史,受免費來源深度限制"
"C18","存貨增長","學術錯價訊號","貨倉存貨一年之內多了多少。存貨上升得快,通常代表貨品賣不出去。","存貨按年變動 ÷ 平均總資產;訊號取負號","資產負債表","可","Thomas & Zhang (2002), Review of Accounting Studies 7(2-3): 163–187, DOI 10.1023/A:1020221918065——1970–1997,39,315 個公司年;十二個月規模調整對沖回報:存貨變動 11.39%(28 年中 27 年為正),高於總應計的 9.28%(28 年中 22 年為正);作者結論是存貨變動才是應計異象的真正動力;Belo & Lin (2012), Review of Financial Studies 25(1): 278–313;OSAP 原文 0.89%/月 t=6.64,全樣本 0.684%/月、t=7.94","InvGrowth","高——輸入只需存貨一項,而且有證據指它才是應計異象的核心;首批建議"
"C19","淨外部融資(XFIN)","學術錯價訊號","公司一年之內淨向外界取得多少資金(發股加借債,減回購減還債)。取得資金多的公司,往後回報通常較差。","淨外部融資 = 股權融資 + 債務融資,除以平均總資產;股權 = 發股 − 回購 − 現金股息;債務 = 長債發行 − 長債償還 + 短債變動。全部取自現金流量表融資部分;訊號取負號","現金流量表、資產負債表","可","Bradshaw, Richardson & Sloan (2006), Journal of Accounting and Economics 42(1-2): 53–85, DOI 10.1016/j.jacceco.2006.03.004——1971–2000,99,329 個公司年;規模調整年度對沖回報 15.5% (t=5.70)、股權那半 11.2% (t=3.82)、債務那半 8.1% (t=6.91),30 年中 27 年為正;單因子 alpha 17.8%;OSAP 全樣本 1.162%/月、t=5.88","XFIN","高——OSAP 全樣本量級屬全表最大的一批,輸入全部在現金流量表融資段;首批建議"
"C20","淨股份發行(一年)","學術錯價訊號","公司一年之內流通股數淨增加了多少。發行新股攤薄股東權益,通常發生在管理層認為股價偏貴的時候。","經拆股調整的流通股數按年變動;訊號取負號","股數(價格數據線已有)","可(不需財報,只需股數歷史)","Pontiff & Woodgate (2008), Journal of Finance 63(2): 921–945, DOI 10.1111/j.1540-6261.2008.01335.x——1970–2003(1970 年前不顯著);摘要逐字:股份發行的預測力「is more statistically significant than the individual predictive ability of size, book-to-market, or momentum」;OSAP 記錄原文單變數 Fama-MacBeth t=7.08(⚠ 回報幅度未核實),全樣本 0.540%/月、t=6.14","ShareIss1Y","高——唯一完全不需要財務報表的錯價訊號(只需股數歷史),因此不受免費財報深度限制;首批建議"
"C21","複合股權發行(五年)","學術錯價訊號","五年間股數的淨變動,連同股價升幅一併觀察,藉此分辨市值上升是因為經營得好,還是因為印發了更多股份。","五年市值對數增長 減 五年累計股東回報","市價、股數","可(需要五年價格與市值歷史,不需財報)","Daniel & Titman (2006), Journal of Finance 61(4): 1605–1643, DOI 10.1111/j.1540-6261.2006.00884.x——1968-07 至 2003-12;Fama-MacBeth(月度,乘 100):複合發行單獨 −0.658 (t=−4.39);與無形回報同時放入仍各自顯著(無形 −0.331 t=−3.71、發行 −0.514 t=−4.16);OSAP 全樣本 0.289%/月、t=3.07","CompEquIss","中——同樣不需財報,但需要五年價格歷史"
"C22","盈利意外(SUE)與業績公布後漂移","學術錯價訊號","公司公布的盈利比市場預期好多少;好過預期的股票在其後幾個月會繼續慢慢上升,市場消化得太慢。","SUE = (本季每股盈利 − 去年同季) ÷ 過去八季未預期盈利的標準差","損益表(季度)、財報公布日期","可(用季度損益表即可,不必分析員預測)","Bernard & Thomas (1989), Journal of Accounting Research 27(Supplement): 1–36, DOI 10.2307/2491062(⚠ 原文數字未核實,全文封鎖);可核實的替代 Chan, Jegadeesh & Lakonishok (1996), Journal of Finance 51(5): 1681–1713, DOI 10.1111/j.1540-6261.1996.tb05222.x——1977-01 至 1993-01,六個月持有期第十減第一分位:SUE 6.8%、分析員修訂 7.7%、價格動量 8.8%;OSAP 原文 2.975%/月,全樣本 0.661%/月、t=9.12;另 EarnSupBig(Hou 2007, RFS)專測大型股,全樣本 0.421%/月、t=3.79","EarningsSurprise、EarnSupBig","最高——OSAP 全樣本 t=9.12 屬全表最高的一批,季度損益表版本不需分析員預測,而且另有專測大型股的變體。⚠ 必須有財報公布日期才不會前視"
"C23","收入意外","學術錯價訊號","與上一項相同,但看收入而不是盈利;收入比盈利更難用會計手法調校。","(本季收入 − 去年同季) ÷ 過去八季標準差","損益表(季度)、財報公布日期","可","Jegadeesh & Livnat (2006), Journal of Accounting and Economics 41(1-2);OSAP 全樣本 0.586%/月、t=8.43","RevenueSurprise","高——與 C22 同族,輸入同樣只需季度損益表;首批建議"
"C24","分析員預測修訂","學術錯價訊號","分析員最近有沒有調高或調低盈利預測。被調高的股票通常還會再升一段。","過去六個月本年度共識預測月度變動的移動平均,除以上月股價","分析員預測","部分(yfinance 有現值,沒有歷史)","Chan, Jegadeesh & Lakonishok (1996), Journal of Finance 51(5): 1681–1713——六個月持有期第十減第一分位 7.7%;OSAP AnalystRevision 原文 0.461%/月 t=3.17,全樣本 0.635%/月、t=8.99","AnalystRevision、REV6","中——訊號極強,但免費來源沒有歷史共識,而且共識值會被回溯修訂;這是數據問題不是訊號問題"
"C25","分析員預測分歧","學術錯價訊號","分析員之間對這隻股票的看法有多不一致。愈是各執一詞,往後回報通常愈差。","本年度每股盈利預測的標準差 ÷ 預測平均值的絕對值;預測平均為零者撥入最高組;股價低於 5 美元剔除","分析員預測","部分","Diether, Malloy & Scherbina (2002), Journal of Finance 57(5): 2113–2141, DOI 10.1111/0022-1082.00490——1983-02 至 2000-12,等權五分位低減高 0.79%/月 (t=2.88,年化 9.48%);⚠ 68.4% 的價差來自空頭那一邊;最細規模五分位 1.37%/月 (t=5.98),最大規模五分位只有 0.29%/月 (t=0.94,不顯著)","ForecastDispersion","低——免費來源不提供逐個分析員預測的散佈;更關鍵是原文自己顯示它在最大規模組完全失效,而標普 500 正是最大規模組"
"C26","長期增長預測","學術錯價訊號","分析員估計這間公司未來五年每年增長多少。估得愈高,往後實際回報通常愈低,因為期望過高會落空。","五年每股盈利增長共識;訊號取負號","分析員預測","部分","La Porta (1996), Journal of Finance 51(5): 1715–1742;OSAP 原文 t=4.90,全樣本 0.138%/月、t=0.62","fgr5yrLag","低——OSAP 全樣本已完全失效(t=0.62),屬典型的公布後衰減"
"C27","Stambaugh-Yuan 錯價綜合分","學術錯價訊號","不倚賴單一訊號:把十一條各自獨立的異常訊號逐隻股票排名再取平均,砌成一個「這隻股票錯價程度有多高」的總分。","十一條組件:淨股份發行、複合股權發行、應計、淨營運資產、資產增長、投資對資產、財困機率、O 分、動量、毛利率、資產回報率。每條按月排名,排名最高者對應平均異常回報最低那一端;總分 = 各排名百分位的算術平均(0–100,高即高估);要求十一條之中至少五條非缺失;股價須不低於 5 美元;年度財報須在財年結束後至少四個月方可使用。2017 年版再分兩簇:管理層可直接影響的六條與表現相關的五條","損益表、資產負債表、現金流量表、市價(不需分析員預測)","可(十一條組件多數在本目錄之內)","Stambaugh, Yu & Yuan (2012), Journal of Financial Economics 104(2): 288–302, DOI 10.1016/j.jfineco.2011.12.001——1965-08 至 2008-01,等權組合 0.77%/月 (t=6.91)、三因子調整後 0.87%/月 (t=9.38);Stambaugh, Yu & Yuan (2015), Journal of Finance 70(5): 1903–1948——以個股排名平均法合成的十分位價差三因子調整 1.48%/月,對比先合成回報再平均的 0.86%/月,差 62 個基點 (t=5.22);Stambaugh & Yuan (2017), Review of Financial Studies 30(4): 1270–1315, DOI 10.1093/rfs/hhw107——1967-01 至 2013-12(564 個月),管理簇 0.62%/月、表現簇 0.70%/月,兩簇相關系數 0.00","—(OSAP 沒有綜合分;組件多數有)","高——正是 Karst 多因子合成(橫斷面排名加權)的現成範本,而且作者已公開完整計分規則;建議在算齊組件之後合成。⚠ 大部分超額回報來自空頭那一邊"
"C28","股票久期","學術錯價訊號","一隻股票的價值有多少要在很遠的將來才兌現。愈遠的愈類似長債,對折現率愈敏感。","以剩餘收益模型的現金流分佈計算加權平均年期","損益表、資產負債表、市價","可","Dechow, Sloan & Soliman (2004), Review of Accounting Studies 9: 197–228;OSAP 原文 0.50%/月、t=4.37","EquityDuration","中"
"C29","應計項目配帳面市值比","學術錯價訊號","在便宜的股票之中,再剔除應計項目偏高的一批,兩個訊號疊在一起使用。","帳面市值比與應計項目雙重排序","損益表、資產負債表、市價","可","Bartov & Kim (2004), Review of Quantitative Finance and Accounting;OSAP 原文 0.206%/月 t=5.50,全樣本 1.298%/月、t=6.53","AccrualsBM","高——OSAP 全樣本量級屬全表最大;是「兩條簡單因子疊加勝過單獨使用」的實例"
"C30","應稅收入對帳面收入","學術錯價訊號","公司呈報給稅局的利潤,與呈報給股東的利潤相差多遠。相差愈遠,通常代表帳面利潤有水分。","分子 = 當期海外稅 + 當期聯邦稅(缺失則用總稅項減遞延稅);分母 = 法定稅率 × 淨利;淨利為負而分子為正者設為 1","損益表(需稅項附註)","難(當期與遞延、聯邦與海外的稅項拆分在附註,免費來源沒有)","Lev & Nissim (2004), The Accounting Review 79(4): 1039–1074, DOI 10.2308/accr.2004.79.4.1039——1973–2000;OSAP 記錄原文多變數迴歸 t=3.851,並註明它在 1973–1992 有效、1993–2000 只有剔除 1998 年方成立;⚠ 原文的頭條檢定是迴歸而非對沖組合,沒有百分比回報","—(OSAP 無)","低——需要稅項附註,免費結構化來源取不到"
"C31","組織資本","學術錯價訊號","一間公司多年累積下來的制度、流程與客戶關係,會計上當成年度開支即時扣掉,不入資產負債表;把這些開支像機器一樣資本化,就能量出這筆看不見的資產。","本期存量 = (1 − 折舊率) × 上期存量 + 銷售及管理費用 ÷ 消費物價指數;初始存量 = 首年費用 ÷ (增長率 + 折舊率);折舊率 15%、增長率 10%;除以帳面資產;在 17 個 Fama-French 行業之內分五分位、市值加權、每年六月再平衡","損益表、外部消費物價指數、行業編碼","可(銷售及管理費用是標準損益表科目)","Eisfeldt & Papanikolaou (2013), Journal of Finance 68(4): 1365–1406, DOI 10.1111/jofi.12034——1970-06 至 2008-12;高減低 4.7%/年,資本資產定價模型 alpha 5.6%,三因子 alpha 5.93% (t=3.61),四因子 alpha 4.18% (t=2.55);對折舊率由 10% 至 50% 均穩健;OSAP 全樣本 0.386%/月、t=2.85","OrgCap","中——輸入只需銷售及管理費用與一個外部物價指數;但要行業內排序,而且累積存量需要多年歷史(受免費來源深度限制)"
"C32","研發對市值比","學術錯價訊號","公司投入研發的金額,相對它的市值有多大。研發開支會即時壓低帳面盈利,令重研發公司在傳統估值指標下看起來昂貴,市場因此長期低估它們。","研發開支 ÷ 市值;每年四月底構建組合","損益表、市價","可","Chan, Lakonishok & Sougiannis (2001), Journal of Finance 56(6): 2431–2456, DOI 10.1111/0022-1082.00411——組合每年四月底構建,1975–1995;經規模與帳面市值比調整、三年年化:研發對市值最高五分位 6.12%/年,極端五分位價差 7.83%/年;對照研發對銷售比只得 3.25%/年;OSAP 0.8875%/月","RD","高——輸入只需研發開支與市值兩項;而且它正正修正「重研發公司在市盈率與市帳率下看似昂貴」這個系統性偏差,對標普 500 的科技與醫藥權重尤其相關"
"D01","Piotroski F 分","財務質素評分","用九條是非題替一間公司的財務健康打分,九分最健康。專門用來在一堆便宜的股票之中,剔除那些便宜得有原因、快要出事的公司。","九個二元訊號加總:資產回報率為正、營運現金流為正、資產回報率上升、營運現金流大於資產回報率、長債對平均總資產下降、流動比率上升、去年沒有發新股、毛利率上升、資產周轉率上升。資產回報率與現金流以期初總資產為分母","損益表、資產負債表、現金流量表","可(九項全部在三張標準報表之內)","Piotroski (2000), Journal of Accounting Research 38(Supplement): 1–41, DOI 10.2307/2672906——1976–1996,14,043 個高帳面市值比公司年;一年期市場調整回報:高分組(8–9)0.1342 對低分組(0–1)−0.0956,差 0.2298 (t=5.59);高分組對整個高帳面市值比組合 0.0747 (t=3.14),即摘要那句每年至少 7.5%;細價股組差額 0.2703。⚠ 原文明言效果「concentrated in small and medium sized firms, companies with low share turnover and firms with no analyst following」;⚠⚠ Hou-Xue-Zhang (2020) 市值加權複製不成立:0.29%/月 (t=1.11),等權 0.46% (t=2.06),即使限回原樣本期亦只有 0.65% (t=2.19);OSAP 全樣本 0.701%/月、t=2.51","PS","低——最著名的一條,但原文自己指明效果集中於細價、低成交、無分析員覆蓋的公司(標普 500 三個條件全部相反),而且市值加權複製不成立。不建議單獨進首批;配合價值使用見 D02"
"D02","Piotroski 與 So 的價值配質素交叉","財務質素評分","把「便宜與否」和「財務健康與否」兩件事交叉觀察:又便宜又健康的才是真正便宜,又昂貴又不健康的才是真正危險。","帳面市值比五分位配 F 分高低的雙重排序","損益表、資產負債表、現金流量表、市價","可","Piotroski & So (2012), Review of Financial Studies 25(9): 2841–2875, DOI 10.1093/rfs/hhs061(⚠ 原文數字未核實,全文封鎖);可核實的獨立複製 Novy-Marx (2014)《Quality Investing》表 8,1963-07 至 2013-12,長倉版:大型股超額回報 7.83%/年 (t=3.80)、三因子 alpha 2.94% (t=3.41);細價股 11.7%/年 (t=4.22)、alpha 5.64% (t=3.70)","—(OSAP 無)","高——這是本目錄之中少數有「大型股專屬複製數字」的模型(7.83%/年, t=3.80),而且是長倉即可,不必放空;首批建議,優先於單獨的 D01"
"D03","Mohanram G 分","財務質素評分","F 分是為便宜股而設,這一個是為昂貴的增長股而設的八分制:觀察盈利是否穩定、研發與廣告是否投入足夠。","八個二元訊號(全部與同期同二位 SIC 行業中位數比):資產回報率高於中位、現金流資產回報率高於中位、營運現金流大於淨利、過去五年資產回報率變異低於中位、銷售增長變異低於中位、研發強度、資本開支強度、廣告強度高於中位。強度均以期初資產為分母","損益表、資產負債表、現金流量表","可(視乎免費來源有沒有研發與廣告開支)","Mohanram (2005), Review of Accounting Studies 10: 133–170, DOI 10.1007/s11142-005-1526-4——1979–1999,最低帳面市值比五分位;高組(6–8)對低組(0–1)原始回報 21.4%(17.4% 對 −4.0%)、規模調整 21.2%(3.3% 對 −17.9%),第二年仍有 15.8%;原文明言結果「robust across partitions based on size, stock price, analyst following」。⚠ 但回報主要來自空頭那一邊(低組 −17.9%,高組僅 +3.3%);⚠⚠ Hou-Xue-Zhang 市值加權複製不成立:0.24%/月 (t=1.22);OSAP 全樣本 0.813%/月、t=4.39","MS","中——原文對規模穩健這一點對標普 500 重要,但回報集中在空頭一邊、而且市值加權複製不成立。可做,但要按 OSAP 量級(約 0.8%/月)而非原文 21% 設定預期"
"D04","Altman Z 分","財務質素評分","一條 1968 年的公式,用五個比率算出一間公司在兩年內破產的機會有多大。分數低於 1.81 即屬危險區。","Z = 1.2·X1 + 1.4·X2 + 3.3·X3 + 0.6·X4 + 0.999·X5(X1 至 X4 以小數輸入);X1 營運資金對總資產、X2 留存收益對總資產、X3 EBIT 對總資產、X4 股權市值對總負債、X5 銷售對總資產。⚠ 另有以百分點輸入的等價寫法(係數 .012/.014/.033/.006/.999),兩式混用會差一百倍","損益表、資產負債表、市價","可","Altman (1968), Journal of Finance 23(4): 589–609, DOI 10.1111/j.1540-6261.1968.tb00843.x——66 家美國製造商(33 破產),全部總資產低於 2,500 萬美元;作為破產預警:一年前準確率 94%、兩年前 72%、三年 48%、四年 29%、五年 36%(Altman 2018 回顧)。⚠ 作為回報預測完全不成立:OSAP 把 ZScore 歸類為 Placebo(原文 t=1.59);Hou-Xue-Zhang 複製 0.01%/月 (t=0.06)","ZScore(屬 Placebo)","低——作破產預警有用(且應以此定位),作選股因子則原文與現代複製都不成立;不建議進首批"
