代號,公司,ETF,IGV權重%,CIBR權重%,基準價,急性窗相對大市低點%,急性窗低點日,全期相對大市低點%,全期低點日,現價,至今相對大市%,至今絕對%,回補比例%,衝擊時200日線,事前日均成交額(百萬),市值(十億美元),在200的35家內,備註,收費模式,收費證據,收費備註
PRGS,PROGRESS SOFTWARE CORP,IGV,0.06,,43.83,-18.6,2026-02-17,-43.8,2026-05-13,42.18,-13.1,-3.8,29.4,線下,22.2,1.7,否,,混合,"Sales and Marketing Many of our products are sold as perpetual licenses, but certain products also use term licensing models, and our cloud-based offerings use a subscription-based model.",永久授權加定期授權加訂閱
AUR,AURORA INNOVATION CLASS A,IGV,0.28,,4.76,-18.5,2026-02-05,-18.5,2026-02-05,6.51,23.5,36.8,226.6,線下,62.0,12.7,否,,查不到,,10-K 掃不到收費語
RAMP,LIVERAMP HOLDINGS INC,IGV,0.08,,27.67,-18.1,2026-02-03,-18.1,2026-02-03,37.74,23.1,36.4,227.6,線下,16.0,2.3,否,,用量或交易,We also generate Marketplace and Other revenue through transactional usage-based arrangements with certain publishers and addressable TV providers.,按用量
MSFT,MICROSOFT,IGV+CIBR,9.58,2.06,474.17,-17.7,2026-02-23,-30.1,2026-06-25,493.95,-6.0,4.2,66.4,線下,11352.4,3646.6,否,,混合,"Dynamics revenue is driven by the number of users licensed and applications consumed, expansion of average revenue per user, and the continued shift to Dynamics 365, a unified set of cloud-based intelligent business applications, including our low code development platforms, such as Power Apps and Power Automate.",按授權用戶數與消耗
DDOG,DATADOG INC CLASS A,IGV+CIBR,2.36,1.72,126.57,-17.4,2026-02-23,-17.4,2026-02-23,210.23,49.9,66.1,386.9,線下,601.0,,是,,用量或交易,"Usage is measured on a per-unit basis, with the unit of measure differing for each product, based on the unit that, in working with customers and design partners, best indicates the value we deliver, In the case of subscriptions for committed contractual amounts of usage, revenue is recognized ratably over the term of the subscription agreement, generally beginning on the date that our platform is made available to a",按自訂單位用量
TDC,TERADATA,IGV,0.09,,31.74,-17.3,2026-02-03,-25.8,2026-08-05,27.76,-21.0,-12.5,-21.5,線上,40.2,2.6,否,,用量或交易,"Our Subscription Options Teradata offers subscription offerings that are flexibly priced, ranging from capacity-based to consumption-based pricing.",按容量與消耗
GEN,GEN DIGITAL,IGV+CIBR,0.56,2.43,26.37,-17.2,2026-02-23,-31.4,2026-04-10,29.81,2.1,13.0,112.0,線下,101.8,17.9,否,,用量或交易,"At the point of Instacash Advance origination, the customer requests an available Instacash Advance amount, decides whether to incur an optional Turbo Fee and leave a tip, confirms the scheduled repayment date and authorizes automatic debit repayment.",按每筆墊款收費
CDNS,CADENCE DESIGN SYSTEMS,IGV,2.65,,325.51,-16.8,2026-02-03,-21.2,2026-09-08,284.11,-21.2,-12.7,-25.9,線下,482.2,78.3,否,,混合,"In addition, for certain IP license agreements, we collect royalties as our customers ship their product that includes our IP to their customers.",定期授權加出貨抽成
ACIW,ACI WORLDWIDE,IGV,0.18,,47.1,-16.8,2026-02-23,-19.6,2026-05-14,51.98,-0.4,10.4,97.8,線下,32.5,5.2,否,,用量或交易,This does not include: Revenue that will be recognized in future periods from capacity overages that are accounted for as a usage-based royalty.,按超量
FIVN,FIVE9,IGV,0.08,,19.69,-16.6,2026-02-05,-29.5,2026-04-10,31.23,43.2,58.6,360.4,線下,34.6,2.3,否,,混合,"The Company also offers bundled plans, generally for smaller deployments, whereby the customer is charged a single monthly fixed fee per agent seat that includes both subscription and unlimited usage in the contiguous 48 states and, in some cases, Canada.",按席位定額加用量
S,SENTINELONE INC CLASS A,IGV+CIBR,0.22,1.14,15.04,-16.2,2026-02-23,-19.0,2026-04-10,19.43,16.6,29.2,202.6,線下,100.5,7.0,否,,用量或交易,"We generally price our subscriptions and modules on a per agent basis, and each agent generally corresponds with an endpoint, server, virtual machine, or container.",按 agent(對應端點)
LDOS,"Leidos Holdings, Inc.",CIBR,,1.89,194.43,-15.9,2026-02-17,-51.8,2026-06-29,129.24,-40.0,-33.5,-151.1,線上,149.1,16.3,否,,其他,"The price for a FFP contract is often determined through competitive bidding by multiple contractors vying for award of the contract, but the price may also be determined through price negotiations with the customer.","政府服務合約計價,非軟件收費"
BB,BLACKBERRY,IGV+CIBR,0.14,0.9,4.0,-15.4,2026-02-23,-15.4,2026-02-23,7.87,77.6,96.7,602.5,線下,32.3,4.4,否,,混合,"The disclosure includes estimates of variable consideration, except when the variable consideration is a sales-based or usage-based royalty promised in exchange for a license of intellectual property.",授權加抽成
RNG,RINGCENTRAL INC CLASS A,IGV,0.18,,29.35,-15.2,2026-02-03,-15.2,2026-02-03,70.19,115.9,139.1,862.0,線下,35.8,,是,,混合,"These arrangements have contractual terms typically ranging from one month to five years and include recurring fixed plan subscription fees, variable usage-based fees for usage in excess of plan limits, one-time fees, recurring license and other fees, derived from sales through our direct and indirect sales channels, including resellers and distributors, strategic partners and global service providers.",定額加用量
ZM,ZOOM COMMUNICATIONS CLASS A,IGV,0.87,,86.75,-13.6,2026-02-27,-15.1,2026-03-02,96.44,0.4,11.2,102.6,線上,207.4,,是,,訂閱(未標明計量),"Our business is subscription based, and customers are not obligated to, and may choose not to, renew their subscriptions after their existing subscriptions expire.","原文只說訂閱,未講計量"
ALRM,ALARM.COM HOLDINGS,IGV,0.1,,51.96,-13.3,2026-02-23,-24.5,2026-05-14,56.01,-2.7,7.8,79.7,線下,18.5,2.7,否,,席位,"We also generate SaaS and license revenue from monthly fees charged to service providers on a per subscriber basis for access to our non-hosted software platform, or Software platform.",按訂戶
CORZ,CORE SCIENTIFIC INC,IGV,0.2,,17.48,-13.1,2026-02-05,-16.5,2026-09-01,18.73,-3.3,7.2,75.0,線下,194.9,5.6,否,,用量或交易,The Digital Asset Hosted Mining business generates revenue through the sale of consumption-based contracts for its digital asset hosted mining services which are recurring in nature.,按消耗(託管算力)
FSLY,"Fastly, Inc. (Class A)",CIBR,,0.57,9.34,-12.6,2026-02-05,-12.6,2026-02-05,21.49,107.7,130.1,957.0,線下,39.3,3.7,否,,用量或交易,The majority of our revenue is usage based and changes in usage by our largest customers can create volatility in our revenue.,按用量
NET,"Cloudflare, Inc. (Class A)",CIBR,,4.9,186.39,-12.4,2026-02-23,-12.4,2026-02-23,284.3,37.7,52.5,402.8,線下,473.1,,是,,混合,Enterprise subscription plan agreements for our contracted customers generally include a base subscription and a smaller portion based on usage or per seat.,底價訂閱加席位或用量
PTC,PTC,IGV,0.52,,171.43,-12.2,2026-02-03,-39.0,2026-07-22,133.26,-29.8,-22.3,-143.9,線下,146.6,14.1,否,,混合,"Compared to a perpetual license model, our subscription model naturally drives higher customer engagement and retention and provides better business predictability.",永久授權轉訂閱
WULF,TERAWULF,IGV,0.24,,13.81,-11.5,2026-02-05,-11.5,2026-02-05,17.86,16.8,29.3,246.3,線上,459.4,8.1,否,,查不到,,10-K 掃不到收費語
AVGO,Broadcom Inc.,CIBR,,6.16,350.92,-11.4,2026-02-04,-11.4,2026-02-04,368.56,-5.2,5.0,54.5,線上,8247.0,1721.2,否,,混合,"Revenue from Contracts with Customers Reclassifications to Consolidated Statements of Operations In fiscal year 2025, we included upfront license revenue of $ 7,800 million within products revenue in our consolidated statements of operations.",硬件(半導體)加授權
DBX,DROPBOX INC CLASS A,IGV,0.17,,27.33,-10.4,2026-02-25,-17.6,2026-04-10,33.81,11.7,23.7,212.8,線下,95.7,7.7,否,,訂閱(未標明計量),Revenue recognition The Company derives its revenue from subscription fees from customers for access to its platform.,"原文只說訂閱費,未講計量"
NTAP,"NetApp, Inc.",CIBR,,2.0,106.16,-10.1,2026-02-03,-10.1,2026-02-03,189.13,60.8,78.2,705.1,線下,201.2,36.5,否,,混合,"Our public cloud services are transferred either 1) for subscription arrangements, ratably over the subscription period or 2) for consumption-based arrangements, as actually consumed by the customer.",訂閱加消費制
YOU,CLEAR SECURE CLASS A,IGV,0.14,,34.64,-8.8,2026-02-03,-8.8,2026-02-03,43.6,13.6,25.9,255.4,線上,46.2,4.4,否,,混合,"CLEAR1 contract structures vary by use case, but are typically multi-year agreements that drive revenue through transaction fees (charged per use or per user) in addition to an annual platform fee.",按次或按用戶
HO.FP,Thales S.A.,CIBR,,1.77,266.57,-8.6,2026-02-11,-24.2,2026-07-15,232.7,-21.2,-12.7,-147.2,線上,51.3,,否,,查不到,,倉內無 10-K 全文(法國申報)
GOOGL,Alphabet Inc. (Class A),CIBR,,1.64,331.22,-7.4,2026-02-18,-10.2,2026-07-23,338.36,-7.8,2.2,-4.9,線上,9844.6,4066.0,否,,用量或交易,Cost-per-click is defined as click-driven revenues divided by our total number of paid clicks and represents the average amount we charge advertisers for each engagement by users.,按點擊與曝光收費
RDWR,Radware Ltd.,CIBR,,0.14,24.39,-7.3,2026-02-24,-9.2,2026-07-29,27.99,3.6,14.8,149.2,線下,3.8,1.2,否,,查不到,,倉內無 10-K 全文(以色列申報)
ADEA,ADEIA,IGV,0.1,,18.8,-6.2,2026-02-04,-6.2,2026-02-04,27.2,30.6,44.7,590.4,線上,12.4,2.9,否,,席位,"Customers typically pay us a monthly per-subscriber fee and include many of the leading MVPDs and virtual MVPDs such as Altice USA (including Optimum), AT&T (including DirecTV and DirecTV Stream), Charter, Comcast (including Sky), Cox, DISH Network (including Sling TV), Google (including YouTube TV), Verizon and Vodafone.",按訂戶
DLB,DOLBY LABORATORIES CLASS A,IGV,0.13,,63.3,-5.0,2026-01-28,-29.9,2026-07-14,62.32,-11.1,-1.6,-120.3,線下,35.5,5.9,否,,用量或交易,Our branded licensing customers typically enter into a per unit royalty arrangement whereby they pay us for each unit they sell.,按件抽成
FTNT,FORTINET,IGV+CIBR,3.32,8.6,78.66,-3.7,2026-01-16,-3.7,2026-01-16,157.47,80.7,100.2,2290.7,線下,426.1,117.0,否,,混合,"We experienced product revenue growth across our hardware products and software licensing, which mainly benefited from growth in secure networking hardware products and term licenses.",硬件、授權與訂閱並行
FFIV,"F5, Inc.",CIBR,,3.15,270.56,-3.4,2026-01-23,-3.4,2026-01-23,389.62,30.0,44.0,995.1,線下,283.3,22.6,否,,混合,"We sell packaged software in perpetual, subscription, and usage-based consumption models.",三種模式並列
NN,NEXTNAV,IGV,0.05,,14.32,-2.6,2026-02-05,-18.7,2026-07-24,15.22,-4.0,6.3,-53.3,線下,16.1,2.0,否,,用量或交易,"subscribers and certain pricing requirements for our SDKs based on the quantity of usage, revenue sharing, compliance with data rights and privacy, and support requirements; and (ii) AT&T hosting of Pinnacle equipment for altitude determination at AT&T sites, at no recurring cost to us.",按用量與出貨件數
AKAM,"Akamai Technologies, Inc.",CIBR,,2.53,91.27,-2.4,2026-01-13,-2.8,2026-04-14,105.61,4.5,15.7,282.4,線上,229.7,15.4,否,,用量或交易,It excludes estimates of variable consideration such as usage-based contracts with no committed contract as well as anticipated renewed contracts.,按用量
ATEN,A10 NETWORKS,IGV+CIBR,0.06,0.3,17.27,-0.5,2026-01-13,-0.5,2026-01-13,24.52,28.1,42.0,5836.4,線上,9.7,1.8,否,,混合,"Product Form Factors Our products are offered in a variety of form factors and payment models, including physical appliances and perpetual and subscription-based software licenses, as well as pay-as-you-go licensing models and FlexPool, a flexible consumption-based software model.",硬件加授權與訂閱加按用量
NTCT,"NetScout Systems, Inc.",CIBR,,0.41,27.42,-0.4,2026-01-16,-0.4,2026-01-16,36.98,21.8,34.9,4966.4,線上,13.2,2.7,否,,查不到,,10-K 掃不到收費語
IDCC,INTERDIGITAL INC,IGV,0.3,,309.84,-0.3,2026-01-16,-25.8,2026-05-28,340.94,-0.7,10.0,-107.2,線上,85.1,8.9,否,,用量或交易,The majority of the remaining portion of our recurring revenue was variable in nature due to the per-unit structure of the related license agreements.,專利授權按件
CSCO,"Cisco Systems, Inc.",CIBR,,6.86,73.34,0.0,2026-01-12,0.0,2026-01-12,109.17,34.4,48.9,,線上,1368.3,426.6,否,,混合,"These offerings consist of software, including perpetual licenses and subscription arrangements, as well as hardware.",授權、訂閱與硬件
ANET,"Arista Networks, Inc.",CIBR,,2.28,123.42,0.0,2026-01-12,0.0,2026-01-12,194.96,42.6,58.0,,線上,959.4,239.3,否,,查不到,,"10-K 只講運費入收入,掃不到收費模式語"
